tool,CWE-116,CWE-185,CWE-20,CWE-285,CWE-287,CWE-311,CWE-326,CWE-327,CWE-330,CWE-345,CWE-400,CWE-477,CWE-489,CWE-573,CWE-610,CWE-668,CWE-669,CWE-704,CWE-706,CWE-74,CWE-834,CWE-913,CWE-923
bandit,0.0,0.0,0.08260869565217391,0.06284153005464481,0.2621951219512195,0.00510204081632653,0.038461538461538464,0.7055214723926381,0.6533333333333333,0.0,0.061224489795918366,0.0,0.0,0.23684210526315788,0.0,0.04654255319148936,0.0,0.0,0.023762376237623763,0.39428231089934485,0.0,0.13170731707317074,0.0
codeql,0.21621621621621623,0.0,0.1282608695652174,0.06830601092896176,0.07317073170731707,0.02295918367346939,0.038461538461538464,0.1656441717791411,0.03333333333333333,0.00463678516228748,0.023323615160349854,0.0,0.0,0.0,0.07127882599580712,0.1622340425531915,0.0,0.0,0.14257425742574256,0.11971411554496725,0.03225806451612903,0.16585365853658537,0.002890173410404624
devaic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pylint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14960106382978725,0.0,0.0,0.0,0.05896366885050625,0.0,0.0,0.0
semgrep,0.0,0.0,0.0,0.05737704918032787,0.011178861788617886,0.1326530612244898,0.1346153846153846,0.5644171779141104,0.0,0.0,0.0,0.0,0.0,0.0,0.13836477987421383,0.031914893617021274,0.0,0.0,0.01782178217821782,0.31983323406789754,0.0,0.3463414634146341,0.0
