cwe,family,level
CWE-668,CWE-668,pillar_child
CWE-670,CWE-670,pillar_child
CWE-672,CWE-666,pillar_child
CWE-674,CWE-834,pillar_child
CWE-675,CWE-573,pillar_child
CWE-676,CWE-1177,pillar_child
CWE-680,CWE-190,pillar_child
CWE-681,CWE-704,pillar_child
CWE-682,,pillar_child
CWE-683,CWE-573,pillar_child
CWE-685,CWE-573,pillar_child
CWE-686,CWE-573,pillar_child
CWE-690,CWE-754,pillar_child
CWE-691,,pillar_child
CWE-693,,pillar_child
CWE-697,,pillar_child
CWE-703,,pillar_child
CWE-704,CWE-704,pillar_child
CWE-706,CWE-706,pillar_child
CWE-707,,pillar_child
CWE-732,CWE-285,pillar_child
CWE-754,CWE-754,pillar_child
CWE-755,CWE-755,pillar_child
CWE-758,CWE-758,pillar_child
CWE-761,CWE-404,pillar_child
CWE-762,CWE-404,pillar_child
CWE-763,CWE-404,pillar_child
CWE-764,CWE-662,pillar_child
CWE-768,CWE-768,pillar_child
CWE-770,CWE-400,pillar_child
CWE-771,CWE-400,pillar_child
CWE-772,CWE-404,pillar_child
CWE-773,CWE-400,pillar_child
CWE-775,CWE-404,pillar_child
CWE-776,CWE-834,pillar_child
CWE-783,CWE-670,pillar_child
CWE-785,CWE-1177,pillar_child
CWE-786,CWE-118,pillar_child
CWE-787,CWE-118,pillar_child
CWE-788,CWE-118,pillar_child
CWE-789,CWE-400,pillar_child
CWE-798,CWE-287,pillar_child
CWE-805,CWE-118,pillar_child
CWE-807,CWE-807,pillar_child
CWE-822,CWE-118,pillar_child
CWE-823,CWE-118,pillar_child
CWE-824,CWE-118,pillar_child
CWE-829,CWE-669,pillar_child
CWE-833,CWE-662,pillar_child
CWE-834,CWE-834,pillar_child
CWE-835,CWE-834,pillar_child
CWE-838,CWE-116,pillar_child
CWE-843,CWE-704,pillar_child
CWE-862,CWE-285,pillar_child
CWE-863,CWE-285,pillar_child
CWE-908,CWE-665,pillar_child
CWE-909,CWE-665,pillar_child
CWE-913,CWE-913,pillar_child
CWE-918,CWE-610,pillar_child
CWE-924,CWE-345,pillar_child
CWE-943,CWE-74,pillar_child
CWE-1021,CWE-610,pillar_child
CWE-1041,CWE-1041,pillar_child
CWE-1077,CWE-1077,pillar_child
CWE-1240,CWE-327,pillar_child
CWE-1284,CWE-20,pillar_child
CWE-1325,CWE-400,pillar_child
