n_tools,added,oof_auc
1,flawfinder,0.5392015058433941
2,codeql,0.5433450316349131
3,ikos,0.5455339577904679
4,cppcheck,0.5465446755022801
5,semgrep,0.5466666606031402
6,joern,0.5467766035648035
