tool,recall,unique_catches
flawfinder,0.3795312626713162,6748
codeql,0.12501013705295597,1108
cppcheck,0.03365501581380261,113
ikos,0.014719000892060661,6
joern,0.010380342226907794,25
semgrep,0.006284972832698078,7
