tool,CWE-1164,CWE-118,CWE-131,CWE-190,CWE-191,CWE-20,CWE-269,CWE-285,CWE-287,CWE-311,CWE-327,CWE-369,CWE-400,CWE-404,CWE-476,CWE-573,CWE-662,CWE-665,CWE-666,CWE-668,CWE-669,CWE-670,CWE-704,CWE-705,CWE-706,CWE-74,CWE-754,CWE-834
codeql,0.0,0.008880491261218705,0.0,0.0021337126600284497,0.0,0.00778816199376947,0.0,0.03180212014134275,0.003134796238244514,0.0,0.045454545454545456,0.0,0.0,0.0008149959250203749,0.0,0.0,0.0025157232704402514,0.014184397163120567,0.0,0.0007331378299120235,0.0,0.0,0.0022727272727272726,0.0,0.0,0.0,0.011976047904191617,0.008547008547008548
cppcheck,0.0,0.0065186584789796885,0.0,0.004978662873399715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036496350364963502,0.0,0.0008149959250203749,0.013666072489601902,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flawfinder,0.0,0.3731695795937648,0.0,0.0476529160739687,0.0,0.06853582554517133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021383647798742137,0.0,0.0,0.23240469208211142,0.0,0.0,0.0,0.0,0.0012391573729863693,0.2484008528784648,0.0,0.0
ikos,0.0,0.01209258384506377,0.0,0.022048364153627313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036496350364963502,0.0,0.0,0.013071895424836602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joern,0.0,0.011053377420878602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
semgrep,0.0,0.007557864903164856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007331378299120235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
