tool,recall,unique_catches
flawfinder,0.19570177986142803,4413
ikos,0.007550927270464258,115
codeql,0.005600962535783927,23
joern,0.004854167531012737,15
cppcheck,0.004314815583122433,34
semgrep,0.0033605775214703565,8
