strategy,base_strategy,tau,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc,cwe_attribution_acc
weighted_fire_specificity_silence_sensitivity_tau_0_1,weighted_fire_specificity_silence_sensitivity,0.1,716.6,237.2,464.4,720.2,2138.4,1436.8,701.6,0.7513815285833244,0.49880430194988545,0.6618431549094789,0.39199829676857423,0.3381568450905212,0.5011956980501145,0.5522717575136219,0.580323728429682,0.5995098180757136,0.5347245354478752,0.15176644932324226,0.5839505847600629,0.7072394308195092,0.5741619300580277
weighted_fire_specificity_silence_sensitivity_tau_0_2,weighted_fire_specificity_silence_sensitivity,0.2,716.6,237.2,464.4,720.2,2138.4,1436.8,701.6,0.7513815285833244,0.49880430194988545,0.6618431549094789,0.39199829676857423,0.3381568450905212,0.5011956980501145,0.5522717575136219,0.580323728429682,0.5995098180757136,0.5347245354478752,0.15176644932324226,0.5839505847600629,0.7072394308195092,0.5741619300580277
weighted_fire_specificity_silence_sensitivity_tau_0_3,weighted_fire_specificity_silence_sensitivity,0.3,716.6,237.2,464.4,720.2,2138.4,1436.8,701.6,0.7513815285833244,0.49880430194988545,0.6618431549094789,0.39199829676857423,0.3381568450905212,0.5011956980501145,0.5522717575136219,0.580323728429682,0.5995098180757136,0.5347245354478752,0.15176644932324226,0.5839505847600629,0.7072394308195092,0.5741619300580277
weighted_fire_specificity_silence_sensitivity_tau_0_4,weighted_fire_specificity_silence_sensitivity,0.4,716.6,237.2,464.4,720.2,2138.4,1436.8,701.6,0.7513815285833244,0.49880430194988545,0.6618431549094789,0.39199829676857423,0.3381568450905212,0.5011956980501145,0.5522717575136219,0.580323728429682,0.5995098180757136,0.5347245354478752,0.15176644932324226,0.5839505847600629,0.7072394308195092,0.5741619300580277
weighted_fire_specificity_silence_sensitivity_tau_0_5,weighted_fire_specificity_silence_sensitivity,0.5,709.0,237.2,464.4,727.8,2138.4,1436.8,701.6,0.7493912183224183,0.4935269491958757,0.6618431549094789,0.38950852535248365,0.3381568450905212,0.5064730508041244,0.5487208980914937,0.5776850520526773,0.5950539904348873,0.5296663421003498,0.1469026383953222,0.5839505847600629,0.7072394308195092,0.5785874884005979
weighted_fire_specificity_silence_sensitivity_tau_0_6,weighted_fire_specificity_silence_sensitivity,0.6,705.6,235.8,465.8,731.2,2138.4,1436.8,701.6,0.7496002223042969,0.4911519472053588,0.6638242653286817,0.38910316764287933,0.33617573467131834,0.5088480527946412,0.5477817030755435,0.5774881062670203,0.5933898869264551,0.5274971691003332,0.14661245711504572,0.5839505847600629,0.7072394308195092,0.5680531437483134
weighted_fire_specificity_silence_sensitivity_tau_0_7,weighted_fire_specificity_silence_sensitivity,0.7,640.6,219.4,482.2,796.2,2138.4,1436.8,701.6,0.7449921735816846,0.44598947957192825,0.6872156380587263,0.37724284863846724,0.3127843619412737,0.5540105204280718,0.5250926999641251,0.5666025588153273,0.557861488769994,0.48487274861559804,0.1276009063581214,0.5839505847600629,0.7072394308195092,0.5472049351087029
weighted_fire_specificity_silence_sensitivity_tau_0_8,weighted_fire_specificity_silence_sensitivity,0.8,572.6,203.6,498.0,864.2,2138.4,1436.8,701.6,0.737422732650564,0.3983742410870625,0.7096413075193843,0.36562397775301075,0.29035869248061574,0.6016257589129375,0.5006257827475288,0.5540077743032235,0.5170021263205872,0.4386018107619626,0.10548990051662624,0.5839505847600629,0.7072394308195092,0.5273845514103389
weighted_fire_specificity_silence_sensitivity_tau_0_9,weighted_fire_specificity_silence_sensitivity,0.9,512.4,172.2,529.4,924.4,2138.4,1436.8,701.6,0.7510809685893459,0.3566993721856128,0.7542919929822879,0.3638485757137468,0.24570800701771217,0.6433006278143872,0.4871748146385393,0.5554956825839503,0.4825616137914853,0.3981629816713155,0.11287461908825147,0.5839505847600629,0.7072394308195092,0.517707359916297
dst_dempster_fire_specificity_silence_sensitivity_tau_0_1,dst_dempster_fire_specificity_silence_sensitivity,0.1,1436.8,701.6,0.0,0.0,2138.4,1436.8,701.6,0.67185630552258,1.0,0.0,,1.0,0.0,0.67185630552258,0.5,0.8037101000676026,0.9109962550671806,,0.6012830705255157,0.7419823512857929,0.8817593136749606
