family,fold,delta,family_support,language,n_tools,log_gt_kept,log_n_samples,kept_frac,union_recall,log_family_support
CWE-190,0,,28,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.4471580313422192
CWE-190,1,,28,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.4471580313422192
CWE-190,2,,28,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.4471580313422192
CWE-190,3,,28,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.4471580313422192
CWE-190,4,,28,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.4471580313422192
CWE-20,0,,68,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.8325089127062364
CWE-20,1,,68,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.8325089127062364
CWE-20,2,,68,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.8325089127062364
CWE-20,3,,68,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.8325089127062364
CWE-20,4,,68,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.8325089127062364
CWE-285,0,,58,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.7634279935629373
CWE-285,1,,58,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.7634279935629373
CWE-285,2,,58,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.7634279935629373
CWE-285,3,,59,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.7708520116421442
CWE-285,4,,58,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.7634279935629373
CWE-287,0,,125,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,2.0969100130080562
CWE-287,1,,125,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,2.0969100130080562
CWE-287,2,0.07540532490451342,124,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,2.093421685162235
CWE-287,3,,125,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,2.0969100130080562
CWE-287,4,0.15634546683628017,124,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,2.093421685162235
CWE-311,0,0.05340372258209389,77,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.8864907251724818
CWE-311,1,0.0729631909691256,78,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.8920946026904804
CWE-311,2,0.032963559773791375,77,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.8864907251724818
CWE-311,3,0.0433569538663001,77,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.8864907251724818
CWE-311,4,0.11011496676845826,77,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.8864907251724818
CWE-327,0,0.18917177354174872,70,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.845098040014257
CWE-327,1,0.10700279582738459,70,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.845098040014257
CWE-327,2,0.1488526578578946,70,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.845098040014257
CWE-327,3,0.12412457165304842,70,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.845098040014257
CWE-327,4,0.17518657605655708,70,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.845098040014257
CWE-330,0,-0.028812010287812287,50,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.6989700043360187
CWE-330,1,-0.060034762078254506,50,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.6989700043360187
CWE-330,2,-0.04656145447064696,50,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.6989700043360187
CWE-330,3,-0.050427689858938377,50,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.6989700043360187
CWE-330,4,-0.060883760318531654,50,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.6989700043360187
CWE-345,0,,106,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,2.0253058652647704
CWE-345,1,,106,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,2.0253058652647704
CWE-345,2,,106,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,2.0253058652647704
CWE-345,3,,106,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,2.0253058652647704
CWE-345,4,,106,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,2.0253058652647704
CWE-400,0,,50,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.6989700043360187
CWE-400,1,,51,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.7075701760979363
CWE-400,2,,50,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.6989700043360187
CWE-400,3,,51,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.7075701760979363
CWE-400,4,,50,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.6989700043360187
CWE-610,0,,53,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.7242758696007892
CWE-610,1,,54,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.7323937598229686
CWE-610,2,0.24917130832242207,53,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.7242758696007892
CWE-610,3,0.2700429860939484,54,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.7323937598229686
CWE-610,4,0.3473612510814828,53,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.7242758696007892
CWE-668,0,,220,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,2.342422680822206
CWE-668,1,,220,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,2.342422680822206
CWE-668,2,,219,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,2.3404441148401185
CWE-668,3,,219,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,2.3404441148401185
CWE-668,4,,219,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,2.3404441148401185
CWE-706,0,0.2707883928919399,60,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.7781512503836436
CWE-706,1,0.25632848676633024,60,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.7781512503836436
CWE-706,2,0.1787919597986568,59,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.7708520116421442
CWE-706,3,0.2630779025843544,60,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.7781512503836436
CWE-706,4,0.2634206881741721,59,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.7708520116421442
CWE-74,0,-0.07091421249770913,286,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,2.456366033129043
CWE-74,1,-0.04624429595425287,286,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,2.456366033129043
CWE-74,2,-0.021056083119041346,285,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,2.45484486000851
CWE-74,3,-0.05802525598951346,285,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,2.45484486000851
CWE-74,4,-0.028366927877088097,285,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,2.45484486000851
CWE-913,0,,21,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.3222192947339193
CWE-913,1,,22,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.3424226808222062
CWE-913,2,,22,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.3424226808222062
CWE-913,3,,21,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.3222192947339193
CWE-913,4,,21,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.3222192947339193
CWE-923,0,,66,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.8195439355418688
CWE-923,1,,66,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.8195439355418688
CWE-923,2,,66,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.8195439355418688
CWE-923,3,,67,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.8260748027008264
CWE-923,4,,66,java,3,3.8253611959526332,3.9414120403735495,0.6992473343090111,0.272802311184482,1.8195439355418688
