cwe,family,level
CWE-305,CWE-287,pillar_child
CWE-306,CWE-287,pillar_child
CWE-307,CWE-287,pillar_child
CWE-308,CWE-287,pillar_child
CWE-309,CWE-287,pillar_child
CWE-311,CWE-311,pillar_child
CWE-312,CWE-311,pillar_child
CWE-313,CWE-311,pillar_child
CWE-314,CWE-311,pillar_child
CWE-315,CWE-311,pillar_child
CWE-316,CWE-311,pillar_child
CWE-317,CWE-311,pillar_child
CWE-318,CWE-311,pillar_child
CWE-319,CWE-311,pillar_child
CWE-321,CWE-287,pillar_child
CWE-322,CWE-287,pillar_child
CWE-325,CWE-327,pillar_child
CWE-326,CWE-326,pillar_child
CWE-327,CWE-327,pillar_child
CWE-328,CWE-327,pillar_child
CWE-329,CWE-330,pillar_child
CWE-330,CWE-330,pillar_child
CWE-331,CWE-330,pillar_child
CWE-335,CWE-330,pillar_child
CWE-337,CWE-330,pillar_child
CWE-338,CWE-330,pillar_child
CWE-341,CWE-330,pillar_child
CWE-345,CWE-345,pillar_child
CWE-346,CWE-345,pillar_child
CWE-347,CWE-345,pillar_child
CWE-348,CWE-345,pillar_child
CWE-349,CWE-345,pillar_child
CWE-350,CWE-287,pillar_child
CWE-352,CWE-345,pillar_child
CWE-353,CWE-345,pillar_child
CWE-354,CWE-345,pillar_child
CWE-359,CWE-668,pillar_child
CWE-360,CWE-345,pillar_child
CWE-362,CWE-662,pillar_child
CWE-363,CWE-662,pillar_child
CWE-366,CWE-662,pillar_child
CWE-367,CWE-662,pillar_child
CWE-368,CWE-662,pillar_child
CWE-369,CWE-369,pillar_child
CWE-372,CWE-372,pillar_child
CWE-377,CWE-668,pillar_child
CWE-378,CWE-668,pillar_child
CWE-379,CWE-668,pillar_child
CWE-384,CWE-610,pillar_child
CWE-385,CWE-1229,pillar_child
CWE-391,CWE-754,pillar_child
CWE-400,CWE-400,pillar_child
CWE-401,CWE-404,pillar_child
CWE-402,CWE-668,pillar_child
CWE-404,CWE-404,pillar_child
CWE-405,CWE-400,pillar_child
CWE-406,CWE-400,pillar_child
CWE-408,CWE-696,pillar_child
CWE-409,CWE-400,pillar_child
CWE-410,CWE-410,pillar_child
CWE-412,CWE-662,pillar_child
CWE-419,CWE-923,pillar_child
CWE-421,CWE-923,pillar_child
CWE-424,CWE-657,pillar_child
CWE-425,CWE-285,pillar_child
CWE-426,CWE-668,pillar_child
CWE-427,CWE-668,pillar_child
CWE-428,CWE-668,pillar_child
CWE-430,CWE-430,pillar_child
CWE-433,CWE-668,pillar_child
CWE-434,CWE-669,pillar_child
CWE-436,CWE-436,pillar_child
CWE-441,CWE-610,pillar_child
CWE-444,CWE-436,pillar_child
CWE-451,CWE-684,pillar_child
CWE-454,CWE-665,pillar_child
CWE-459,CWE-404,pillar_child
CWE-470,CWE-913,pillar_child
CWE-471,CWE-471,pillar_child
CWE-472,CWE-668,pillar_child
CWE-473,CWE-471,pillar_child
CWE-476,CWE-476,pillar_child
CWE-477,CWE-477,pillar_child
CWE-486,CWE-1025,pillar_child
CWE-488,CWE-668,pillar_child
CWE-489,CWE-489,pillar_child
CWE-491,CWE-668,pillar_child
CWE-492,CWE-668,pillar_child
CWE-493,CWE-668,pillar_child
CWE-494,CWE-345,pillar_child
CWE-497,CWE-668,pillar_child
CWE-498,CWE-668,pillar_child
CWE-499,CWE-668,pillar_child
CWE-500,CWE-668,pillar_child
CWE-501,CWE-501,pillar_child
CWE-502,CWE-913,pillar_child
CWE-506,CWE-684,pillar_child
CWE-507,CWE-684,pillar_child
CWE-508,CWE-684,pillar_child
CWE-509,CWE-684,pillar_child
CWE-512,CWE-684,pillar_child
CWE-514,CWE-1229,pillar_child
CWE-515,CWE-1229,pillar_child
CWE-520,CWE-269,pillar_child
CWE-521,CWE-287,pillar_child
CWE-522,CWE-287,pillar_child
CWE-523,CWE-287,pillar_child
CWE-524,CWE-668,pillar_child
CWE-525,CWE-668,pillar_child
CWE-527,CWE-668,pillar_child
CWE-528,CWE-668,pillar_child
CWE-529,CWE-668,pillar_child
CWE-532,CWE-668,pillar_child
CWE-535,CWE-668,pillar_child
CWE-537,CWE-668,pillar_child
CWE-538,CWE-668,pillar_child
CWE-539,CWE-668,pillar_child
CWE-540,CWE-668,pillar_child
CWE-541,CWE-668,pillar_child
CWE-547,CWE-1076,pillar_child
CWE-551,CWE-285,pillar_child
CWE-552,CWE-668,pillar_child
