strategy,base_strategy,tau,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc,cwe_attribution_acc
weighted_fire_specificity_silence_sensitivity_tau_0_1,weighted_fire_specificity_silence_sensitivity,0.1,499.6,283.4,341.8,622.8,1747.6,1122.4,625.2,0.6380552541195493,0.4451001774595215,0.5466798306797436,0.35434272203270945,0.4533201693202565,0.5548998225404784,0.48146462522381483,0.4958900040696325,0.5243701542154232,0.4737439996119878,-0.007904811046722016,0.482770272761177,0.5880884104777071,0.7530568112958445
weighted_fire_specificity_silence_sensitivity_tau_0_2,weighted_fire_specificity_silence_sensitivity,0.2,499.6,283.4,341.8,622.8,1747.6,1122.4,625.2,0.6380552541195493,0.4451001774595215,0.5466798306797436,0.35434272203270945,0.4533201693202565,0.5548998225404784,0.48146462522381483,0.4958900040696325,0.5243701542154232,0.4737439996119878,-0.007904811046722016,0.482770272761177,0.5880884104777071,0.7530568112958445
weighted_fire_specificity_silence_sensitivity_tau_0_3,weighted_fire_specificity_silence_sensitivity,0.3,499.6,283.4,341.8,622.8,1747.6,1122.4,625.2,0.6380552541195493,0.4451001774595215,0.5466798306797436,0.35434272203270945,0.4533201693202565,0.5548998225404784,0.48146462522381483,0.4958900040696325,0.5243701542154232,0.4737439996119878,-0.007904811046722016,0.482770272761177,0.5880884104777071,0.7530568112958445
weighted_fire_specificity_silence_sensitivity_tau_0_4,weighted_fire_specificity_silence_sensitivity,0.4,499.6,283.4,341.8,622.8,1747.6,1122.4,625.2,0.6380552541195493,0.4451001774595215,0.5466798306797436,0.35434272203270945,0.4533201693202565,0.5548998225404784,0.48146462522381483,0.4958900040696325,0.5243701542154232,0.4737439996119878,-0.007904811046722016,0.482770272761177,0.5880884104777071,0.7530568112958445
weighted_fire_specificity_silence_sensitivity_tau_0_5,weighted_fire_specificity_silence_sensitivity,0.5,499.4,283.4,341.8,623.0,1747.6,1122.4,625.2,0.6379629029678762,0.4449203213444136,0.5466798306797436,0.35426749518668504,0.4533201693202565,0.5550796786555864,0.4813496165981679,0.4958000760120786,0.5242134388960478,0.473570479386588,-0.008078419873288702,0.482770272761177,0.5880884104777071,0.753359027001286
weighted_fire_specificity_silence_sensitivity_tau_0_6,weighted_fire_specificity_silence_sensitivity,0.6,481.2,274.2,351.0,641.2,1747.6,1122.4,625.2,0.6370227519231169,0.4286414577969066,0.5613347374768984,0.3536531927942835,0.4386652625231016,0.5713585422030933,0.4761906131785878,0.4949880976369025,0.5124259321357373,0.4586328397283532,-0.009667235391974572,0.482770272761177,0.5880884104777071,0.7593696063736679
weighted_fire_specificity_silence_sensitivity_tau_0_7,weighted_fire_specificity_silence_sensitivity,0.7,429.4,240.0,385.2,693.0,1747.6,1122.4,625.2,0.6414057223021338,0.3825364407183236,0.6160260875989989,0.3572441494110944,0.3839739124010011,0.6174635592816764,0.46613650487976865,0.4992812641586613,0.4792139520222987,0.4161116624931015,-0.0013930281731032103,0.482770272761177,0.5880884104777071,0.7423229051201933
weighted_fire_specificity_silence_sensitivity_tau_0_8,weighted_fire_specificity_silence_sensitivity,0.8,425.6,237.2,388.0,696.8,1747.6,1122.4,625.2,0.6421120593039784,0.3791579081741502,0.620463374555953,0.35762826686050836,0.3795366254440471,0.6208420918258498,0.4655703583707953,0.49981064136505154,0.47674217693463694,0.412965582986772,-0.0003182976928838864,0.482770272761177,0.5880884104777071,0.6879379205896823
weighted_fire_specificity_silence_sensitivity_tau_0_9,weighted_fire_specificity_silence_sensitivity,0.9,371.8,237.0,388.2,750.6,1747.6,1122.4,625.2,0.6106544472740113,0.3312214105770156,0.6207823538223007,0.3408506514537966,0.3792176461776994,0.6687785894229844,0.4349005673092618,0.47600188219965817,0.42943239565698843,0.3645668157873877,-0.048242722597873315,0.482770272761177,0.5880884104777071,0.7309505679795392
dst_dempster_fire_specificity_silence_sensitivity_tau_0_1,dst_dempster_fire_specificity_silence_sensitivity,0.1,1122.4,625.2,0.0,0.0,1747.6,1122.4,625.2,0.6422353127736966,1.0,0.0,,1.0,0.0,0.6422353127736966,0.5,0.7821323352815958,0.8997410663138237,,0.5337836657708699,0.6926598411693479,0.8632119971088814
