strategy,family,precision,recall,specificity,npv,fpr,fnr,f1,f2,mcc,accuracy,balanced_accuracy,roc_auc,pr_auc,positive_support
tool:bandit,CWE-116,,0.0,1.0,0.9930766358377439,0.0,1.0,,,,0.9930766358377439,0.5,0.5,0.005477512556345762,74
tool:bandit,CWE-185,,0.0,1.0,0.9985969279035192,0.0,1.0,,,,0.9985969279035192,0.5,0.5,0.005349303737719003,15
tool:bandit,CWE-20,0.14634908727181795,0.08260869565217391,0.9779828392369028,0.9595361095095605,0.022017160763097114,0.917391304347826,0.1048047943938355,0.09016980605475021,0.07978925039385919,0.9394643014152653,0.5302957674445384,0.5302957674445384,0.043584708745939296,460
tool:bandit,CWE-285,0.6738095238095239,0.06290262865605331,0.9987501953904928,0.9678105179048323,0.0012498046095072552,0.9370973713439467,0.11300689887684179,0.0764395280079168,0.19286153924832178,0.9667097354945803,0.530826412023273,0.530826412023273,0.08177998519169874,366
tool:bandit,CWE-287,0.4121277515861051,0.26220346006422873,0.9620841916571571,0.9278675439964227,0.03791580834284286,0.7377965399357713,0.3203281137555206,0.28270175665065056,0.2760787590644632,0.897664702209236,0.6121438258606929,0.6121438258606929,0.16078524226700905,984
tool:bandit,CWE-311,0.25,0.005063291139240506,0.9997058548349216,0.9635039232428394,0.0002941451650783528,0.9949367088607595,0.048192771084337345,0.03125,0.05099051906059341,0.9632380202564818,0.5023845729870811,0.5023845729870811,0.024543111887092274,392
tool:bandit,CWE-326,1.0,0.038181818181818185,1.0,0.9953240636722495,0.0,0.9618181818181817,0.17424242424242425,0.11653116531165313,0.30817771506586406,0.9953249082432949,0.5190909090909092,0.5190909090909092,0.044658966640643685,52
tool:bandit,CWE-327,0.4515839914133772,0.7058712121212121,0.986699447107433,0.9954027455065434,0.013300552892567008,0.2941287878787879,0.5501385193954026,0.6337822986462972,0.5560580012409966,0.9824137316402443,0.8462853296143227,0.8462853296143227,0.33497146179261855,163
tool:bandit,CWE-330,0.3771007130124777,0.6533333333333333,0.9845308090535095,0.9950155129225214,0.015469190946490543,0.3466666666666667,0.47777473421827715,0.5693941192296128,0.48697835532647005,0.9798853450080088,0.8189320711934214,0.8189320711934215,0.3013917783828218,150
tool:bandit,CWE-345,,0.0,1.0,0.9394789912612307,0.0,1.0,,,,0.9394789912612307,0.5,0.5,0.040734126835032816,647
tool:bandit,CWE-400,0.05154951712315785,0.061253196930946295,0.9618422705929055,0.9686616853171452,0.03815772940709462,0.9387468030690538,0.05594608060039165,0.05900247269996898,0.021599556100112327,0.9329483866788234,0.5115477337619259,0.5115477337619259,0.04335520454652274,343
tool:bandit,CWE-477,,0.0,1.0,0.9975665346293809,0.0,1.0,,,,0.9975665346293809,0.5,0.5,0.0016761650133816138,26
tool:bandit,CWE-489,,0.0,1.0,0.9995323093011731,0.0,1.0,,,,0.9995323093011731,0.5,0.5,0.0006203797502324633,5
tool:bandit,CWE-573,0.15537640086839172,0.23666666666666666,0.9906655616547395,0.9945143768264637,0.009334438345260496,0.7633333333333333,0.186500497391567,0.21320695756928343,0.1840458146041684,0.9853066555269618,0.613666114160703,0.6136661141607032,0.06562293817875942,76
tool:bandit,CWE-610,,0.0,1.0,0.955380782591301,0.0,1.0,,,,0.955380782591301,0.5,0.5,0.04353436859444493,477
tool:bandit,CWE-668,0.5173608001194208,0.046551495016611294,0.9928255679424449,0.8641325779461602,0.007174432057554995,0.9534485049833886,0.08527611884913774,0.05688245799102511,0.12223999864307307,0.8596893818306128,0.5196885314795281,0.5196885314795281,0.1159424571259059,1504
tool:bandit,CWE-669,,0.0,1.0,0.9768006580237231,0.0,1.0,,,,0.9768006580237231,0.5,0.5,0.014202091939438726,248
tool:bandit,CWE-704,,0.0,1.0,0.9989696067258617,0.0,1.0,,,,0.9989696067258617,0.5,0.5,0.0013444274651173583,11
tool:bandit,CWE-706,0.3411111111111111,0.023762376237623763,0.9978441988623219,0.9537415984523776,0.00215580113767815,0.9762376237623762,0.04428339080545137,0.029167955183159133,0.07926162083322655,0.9518341741080233,0.5108032875499727,0.5108032875499728,0.07152449088246098,505
tool:bandit,CWE-74,0.3799131877967416,0.3942821606254442,0.8801209063218429,0.8863746203765226,0.11987909367815701,0.6057178393745557,0.38684062593941876,0.3912403935557878,0.27028653781658063,0.8038409499129597,0.6372015334736436,0.6372015334736436,0.34824615836903106,1679
tool:bandit,CWE-834,,0.0,1.0,0.9942007034174456,0.0,1.0,,,,0.9942007034174456,0.5,0.5,0.0052873023718355274,62
