language,n_tools,n_samples,gt_kept,kept_frac,families_kept,tools,family_best_tool,family_best_tool_recall,family_or_recall,family_recall_headroom,detection_best_tool_recall,detection_or_recall,detection_recall_headroom,auc_best_single,auc_all_tools,auc_gain_full_ensemble
c_cpp,6,58009,23832,0.9725759059745348,20,"codeql,cppcheck,flawfinder,ikos,joern,semgrep",flawfinder,0.19570177986142803,0.20449736547317762,0.00879558561174959,0.3795312626713162,0.432041196983213,0.05250993431189682,0.5392015058433941,0.5467766035648035,0.007575097721409407
java,3,8738,6689,0.6992473343090111,15,"codeql,joern,semgrep",semgrep,0.22479020498005228,0.27280231118448206,0.04801210620442978,0.4180327868852459,0.46792587312900924,0.04989308624376332,0.5814198187869974,0.6398774060155348,0.05845758722853733
python,5,10692,8469,0.7331198060941828,15,"bandit,codeql,devaic,pylint,semgrep",bandit,0.15312855517633675,0.25244596131968144,0.0993174061433447,0.37847995545657015,0.5623608017817372,0.18388084632516705,0.6199595007783671,0.6598705028023759,0.03991100202400877
