tool_a,tool_b,double_fault,disagreement,q_statistic
codeql,joern,0.024762001644583472,0.029445673643430568,0.9880931407305125
codeql,semgrep,0.024376287479972534,0.030450225918296416,0.9864353865601233
joern,semgrep,0.023901562354297533,0.013906903011961378,0.9958052204973584
