tool,CWE-116,CWE-190,CWE-191,CWE-20,CWE-269,CWE-285,CWE-287,CWE-311,CWE-326,CWE-327,CWE-330,CWE-345,CWE-400,CWE-501,CWE-610,CWE-662,CWE-665,CWE-668,CWE-704,CWE-705,CWE-706,CWE-74,CWE-754,CWE-807,CWE-834,CWE-913,CWE-923
codeql,0.0,0.02857142857142857,0.0,0.03823529411764706,0.0,0.003436426116838488,0.06902086677367576,0.20207253886010362,0.0,0.6857142857142857,0.876,0.06037735849056604,0.003968253968253968,0.6333333333333333,0.026217228464419477,0.010638297872340425,0.0,0.016408386508659983,0.0,0.0,0.053691275167785234,0.4793272599859846,0.0,0.045454545454545456,0.0,0.009345794392523364,0.0
joern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
semgrep,0.0,0.0,0.0,0.0,0.0,0.003436426116838488,0.011235955056179775,0.4585492227979275,0.15384615384615385,0.35428571428571426,0.872,0.0,0.0,0.4777777777777778,0.33707865168539325,0.0,0.0,0.0,0.0,0.0,0.43288590604026844,0.5711282410651717,0.0,0.0,0.0,0.24299065420560748,0.0
