strategy,family,precision,recall,specificity,npv,fpr,fnr,f1,f2,mcc,accuracy,balanced_accuracy,roc_auc,pr_auc,positive_support
tool:codeql,CWE-118,0.3655654967569861,0.008880491261218705,0.9965629092919684,0.8183439573234264,0.0034370907080315378,0.9911195087387814,0.017338689269411338,0.011033429725411955,0.03162947696569274,0.8163388341140353,0.5027217002765936,0.5027217002765936,0.21359316514625104,10585
tool:codeql,CWE-190,0.024453227931488804,0.002132707402640014,0.9977387013924404,0.9757593487232009,0.0022612986075595926,0.99786729259736,0.006529587634681558,0.004346593209041283,-0.00018021143702626752,0.9736075907708152,0.49993570439754026,0.49993570439754026,0.03535410099329836,1406
tool:codeql,CWE-191,0.0,0.0,0.9990318581387868,0.9971183613787213,0.0009681418612132973,1.0,,,-0.0016601081602871063,0.9961557813800406,0.4995159290693934,0.4995159290693934,0.0022844368359539726,167
tool:codeql,CWE-20,0.05942402558816974,0.007789516183298567,0.9953461104055764,0.966899217695903,0.004653889594423659,0.9922104838167014,0.013735802782899958,0.00942009819345308,0.009080751551456443,0.9625574677071806,0.5015678132944374,0.5015678132944374,0.038698391612155256,1926
tool:codeql,CWE-269,,0.0,1.0,0.9979830809316533,0.0,1.0,,,,0.9979830809316533,0.5,0.5,0.0024300335157767853,117
tool:codeql,CWE-285,0.04851410050051815,0.0318922305764411,0.996985722858248,0.9952616564959774,0.003014277141751894,0.9681077694235588,0.04780311793469688,0.042660983843230506,0.03543282134046326,0.9922769997798188,0.5144389767173446,0.5144389767173446,0.007355894139383219,283
tool:codeql,CWE-287,1.0,0.003125,1.0,0.994518000227292,0.0,0.996875,0.03076923076923077,0.019455252918287938,0.1246599514394453,0.9945180939385105,0.5015625,0.5015625,0.010097998900255225,319
tool:codeql,CWE-369,0.0,0.0,0.9999653649666638,0.9952764249612764,3.4635033336219584e-05,1.0,,,-0.0009060615926502741,0.9952421175004688,0.4999826824833319,0.4999826824833319,0.004809121802960346,274
tool:codeql,CWE-400,0.0,0.0,0.9996343707685496,0.9900324173312278,0.0003656292314504207,1.0,,,-0.0018904255161664454,0.9896740312773369,0.4998171853842748,0.4998171853842748,0.011230020596632407,578
tool:codeql,CWE-404,0.008,0.0008130081300813009,0.9983621130858662,0.978831048166849,0.0016378869141337135,0.9991869918699188,0.007380073800738008,0.004955401387512389,-0.003287744205965383,0.9772621006816656,0.4995875606079738,0.4995875606079738,0.016674550181859118,1227
tool:codeql,CWE-476,,0.0,1.0,0.97098725309598,0.0,1.0,,,,0.97098725309598,0.5,0.5,0.04039675470275235,1683
