baseline,baseline_strategy,strategy,metric,pairing,n_pairs,mean_difference,std_difference,standard_error,ci_low,ci_high,ci_level,status
traditional,traditional_2_of_6,weighted_fire_specificity_silence_sensitivity_tau_0_9,f1,fold,5,0.14639143459279996,0.008481056117588924,0.0037928435999838566,0.13586250075924478,0.15692036842635515,0.95,incremento_statistico
traditional,traditional_2_of_6,dst_dempster_fire_specificity_silence_sensitivity_tau_0_6,f1,fold,5,0.14884295218523763,0.008476468438656654,0.0037907919275935566,0.1383197137942379,0.15936619057623735,0.95,incremento_statistico
traditional,traditional_2_of_6,dst_pcr6_fire_specificity_silence_sensitivity_tau_0_6,f1,fold,5,0.14884295218523763,0.008476468438656654,0.0037907919275935566,0.1383197137942379,0.15936619057623735,0.95,incremento_statistico
traditional,traditional_2_of_6,dst_yager_fire_specificity_silence_sensitivity_tau_0_9,f1,fold,5,0.14626529413335349,0.00848257208402875,0.0037935215607860684,0.13573447828061136,0.1567961099860956,0.95,incremento_statistico
traditional,traditional_2_of_6,naive_bayes_tau_0_1,f1,fold,5,0.19220737829521567,0.002884818066253303,0.0012901298597723756,0.18862597780448756,0.19578877878594378,0.95,incremento_statistico
traditional,traditional_2_of_6,bks_tau_0_2,f1,fold,5,0.22440844110716257,0.003621742835852027,0.001619692635597599,0.21991217435074364,0.2289047078635815,0.95,incremento_statistico
traditional,traditional_2_of_6,logistic_regression_tau_0_8,f1,fold,5,0.16120294781515848,0.004277694746502693,0.0019130432480347504,0.15589233975861402,0.16651355587170294,0.95,incremento_statistico
traditional,traditional_2_of_6,logistic_interactions_tau_0_8,f1,fold,5,0.16135716240210243,0.004377705094735783,0.0019577692354552736,0.1559223950044786,0.16679192979972626,0.95,incremento_statistico
traditional,traditional_2_of_6,decision_tree_tau_0_6,f1,fold,5,0.1563483436267889,0.001555371023430287,0.000695583067724708,0.1544174050307851,0.1582792822227927,0.95,incremento_statistico
